ward_code,ward_name,pt_accessibility_2013,Homes _os_access_2013
E05000150,Coulsdon East,-13.6150665,15.74145767
E05000151,Coulsdon West,-8.955971145,-7.454601826
E05000152,Croham,-3.359030364,-3.164290874
E05000153,Fairfield,13.56527311,-15.4120248
E05000154,Fieldway,-6.140360089,-15.90008967
E05000155,Heathfield,-10.85119144,12.56050608
E05000156,Kenley,-13.33633371,0.870492352
E05000157,New Addington,-7.74494858,8.142049161
E05000158,Norbury,-4.875560413,-0.85846915
E05000159,Purley,-6.580313855,-12.55460856
E05000160,Sanderstead,-15.07449601,4.779429618
E05000161,Selhurst,3.367688014,-18.30091136
E05000162,Selsdon and Ballards,-12.83995177,10.84962558
E05000163,Shirley,-12.9355926,-11.83264384
E05000164,South Norwood,0.697154538,-4.647536346
E05000165,Thornton Heath,-3.610071587,-16.86567213
E05000166,Upper Norwood,-5.894430692,0.967385178
E05000167,Waddon,-1.030025911,9.200758112
E05000168,West Thornton,-4.606326434,-7.321322524
E05000169,Woodside,-0.540084736,0.260326128
E05000170,Acton Central,-4.578550644,8.210272668
E05000171,Cleveland,-5.307058665,6.221368624
E05000172,Dormers Wells,-3.143242438,12.2633051
E05000173,Ealing Broadway,9.006667963,-11.26529401
E05000174,Ealing Common,-1.378939862,8.82351341
E05000175,East Acton,1.434577041,3.89736165
E05000176,Elthorne,0.318747355,2.564445257
E05000177,Greenford Broadway,-2.72755578,4.292792477
E05000178,Greenford Green,-8.26987593,6.690327773
E05000179,Hanger Hill,-0.752544028,-8.592100888
E05000180,Hobbayne,-4.763495822,9.020085398
E05000181,Lady Margaret,-5.311979391,8.251965886
E05000182,Northfield,-2.900324722,6.520631643
E05000183,North Greenford,-8.467911706,15.28219416
E05000184,Northolt Mandeville,-4.186763156,16.7064671
E05000185,Northolt West End,-8.798553658,12.25542085
E05000186,Norwood Green,-10.36361398,18.41093666
E05000187,Perivale,-10.49234675,7.951624618
E05000188,South Acton,5.723090366,4.99078437
E05000189,Southall Broadway,-3.766816789,-3.642686361
E05000190,Southall Green,-5.273066438,0.879787721
E05000191,Southfield,-4.961258321,7.252986042
E05000192,Walpole,0.321104041,-3.280959831
E05000193,Bowes,0.788763991,-16.10650133
